#RESOURCE=yCat_36560049
#Name: J/A+A/656/A49
#Title: Decoding the morphological evolution of open clusters (Hu+, 2021)
#Table	J_A_A_656_A49_table1:
#Name: J/A+A/656/A49/table1
#Title: The parameters of 1256 open clusters
#Column	Cluster	(a18)	Cluster name	[ucd=meta.id;meta.main]
#Column	ecore	(F7.4)	Ellipticity of the core	[ucd=src.ellipticity]
#Column	e_ecore	(F7.4)	Error corresponding to ellipticity of the core	[ucd=stat.error]
#Column	qcore	(F8.4)	Orientation of the core	[ucd=pos.posAng]
#Column	eall	(F7.4)	Ellipticity of the overall	[ucd=src.ellipticity]
#Column	e_eall	(F7.4)	Error corresponding to ellipticity of the overall	[ucd=stat.error]
#Column	qall	(F8.4)	Orientation of the overall	[ucd=pos.posAng]
#Column	acore	(F7.4)	Half-length axes of the core	[ucd=phys.angSize]
#Column	e_acore	(F7.4)	Error corresponding to half-length axes of the core	[ucd=stat.error]
#Column	ccore	(F7.4)	Half-short axes of the core	[ucd=phys.angSize;src]
#Column	e_ccore	(F7.4)	Error corresponding to half-short axes of the core	[ucd=stat.error]
#Column	aall	(F7.4)	Half-length axes of the overall	[ucd=phys.angSize]
#Column	e_aall	(F7.4)	Error corresponding to half-length axes of the overall	[ucd=stat.error]
#Column	call	(F7.4)	Half-short axes of the overall	[ucd=phys.angSize;src]
#Column	e_call	(F7.4)	Error corresponding to half-short axes of the overall	[ucd=stat.error]
#Column	epm	(F7.4)	Ellipticity in proper motion	[ucd=src.ellipticity]
#Column	e_epm	(F7.4)	Error of ellipticity in proper motion	[ucd=stat.error]
#Column	qpm	(F8.4)	Orientation in proper motion	[ucd=pos.pm;pos.posAng]
#
Cluster           ;ecore  ;e_ecore;qcore   ;eall   ;e_eall ;qall    ;acore  ;e_acore;ccore  ;e_ccore;aall   ;e_aall ;call   ;e_call ;epm    ;e_epm  ;qpm
ASCC_85           ; 0.4040; 0.0391; -4.0598; 0.1822; 0.1054;-15.0615; 0.4169; 0.0140; 0.2484; 0.0140; 0.8695; 0.0709; 0.7111; 0.0709; 0.3973; 0.1511;-84.1624
ASCC_87           ; 0.3201; 0.0200; -2.1420; 0.4304; 0.2187; 14.7729; 0.5180; 0.0086; 0.3522; 0.0086; 1.8051; 0.3430; 1.0281; 0.3430; 0.4266; 0.1709;-77.8716
ASCC_88           ; 0.0645; 0.0106;-14.3325; 0.1711; 0.0762; 20.7344; 0.4912; 0.0038; 0.4595; 0.0038; 2.2674; 0.1329; 1.8793; 0.1329; 0.1677; 0.0827;-20.0637
ASCC_9            ; 0.2138; 0.0497;-66.7948; 0.0739; 0.0308;  2.9902; 0.2912; 0.0114; 0.2290; 0.0114; 0.7476; 0.0169; 0.6923; 0.0169; 0.1086; 0.1293; 37.2867
ASCC_90           ; 0.2662; 0.0164;  1.8770; 0.2124; 0.1602;-11.7840; 0.3989; 0.0053; 0.2927; 0.0053; 1.2726; 0.1602; 1.0024; 0.1602; 0.3265; 0.0779; 38.5029
ASCC_97           ; 0.1750; 0.1602; 12.2251; 0.0792; 0.0176;  6.1780; 0.1912; 0.0236; 0.1577; 0.0236; 0.4057; 0.0053; 0.3736; 0.0053; 0.1267; 0.1272;-51.8656
ASCC_99           ; 0.4047; 0.0151; -2.5381; 0.2078; 0.1333;-19.6270; 0.8261; 0.0107; 0.4917; 0.0107; 1.9026; 0.1988; 1.5072; 0.1988; 0.0745; 0.0159; 76.1753
Alessi_1          ; 0.4225; 0.0335; 17.3878; 0.2188; 0.1959;-10.2050; 0.3102; 0.0090; 0.1792; 0.0090; 0.6912; 0.1067; 0.5399; 0.1067; 0.1594; 0.1514; 81.9830
Alessi_10         ; 0.2615; 0.0133; -6.2360; 0.2586; 0.1494;-10.6505; 0.2499; 0.0027; 0.1845; 0.0027; 0.8480; 0.1018; 0.6287; 0.1018; 0.1652; 0.1697;  2.0438
Alessi_12         ; 0.2050; 0.0238;-18.9937; 0.2342; 0.0956;-23.5400; 0.6188; 0.0115; 0.4920; 0.0115; 1.9770; 0.1501; 1.5140; 0.1501; 0.3410; 0.1523;-59.4688
