#RESOURCE=yCat_36560049
#Name: J/A+A/656/A49
#Title: Decoding the morphological evolution of open clusters (Hu+, 2021)
#Table	J_A_A_656_A49_table1:
#Name: J/A+A/656/A49/table1
#Title: The parameters of 1256 open clusters
#Column	Cluster	(a18)	Cluster name	[ucd=meta.id;meta.main]
#Column	ecore	(F7.4)	Ellipticity of the core	[ucd=src.ellipticity]
#Column	e_ecore	(F7.4)	Error corresponding to ellipticity of the core	[ucd=stat.error]
#Column	qcore	(F8.4)	Orientation of the core	[ucd=pos.posAng]
#Column	eall	(F7.4)	Ellipticity of the overall	[ucd=src.ellipticity]
#Column	e_eall	(F7.4)	Error corresponding to ellipticity of the overall	[ucd=stat.error]
#Column	qall	(F8.4)	Orientation of the overall	[ucd=pos.posAng]
#Column	acore	(F7.4)	Half-length axes of the core	[ucd=phys.angSize]
#Column	e_acore	(F7.4)	Error corresponding to half-length axes of the core	[ucd=stat.error]
#Column	ccore	(F7.4)	Half-short axes of the core	[ucd=phys.angSize;src]
#Column	e_ccore	(F7.4)	Error corresponding to half-short axes of the core	[ucd=stat.error]
#Column	aall	(F7.4)	Half-length axes of the overall	[ucd=phys.angSize]
#Column	e_aall	(F7.4)	Error corresponding to half-length axes of the overall	[ucd=stat.error]
#Column	call	(F7.4)	Half-short axes of the overall	[ucd=phys.angSize;src]
#Column	e_call	(F7.4)	Error corresponding to half-short axes of the overall	[ucd=stat.error]
#Column	epm	(F7.4)	Ellipticity in proper motion	[ucd=src.ellipticity]
#Column	e_epm	(F7.4)	Error of ellipticity in proper motion	[ucd=stat.error]
#Column	qpm	(F8.4)	Orientation in proper motion	[ucd=pos.pm;pos.posAng]
#
Cluster           ;ecore  ;e_ecore;qcore   ;eall   ;e_eall ;qall    ;acore  ;e_acore;ccore  ;e_ccore;aall   ;e_aall ;call   ;e_call ;epm    ;e_epm  ;qpm
NGC_2225          ; 0.2474; 0.0207;-44.0688; 0.1072; 0.1112;-39.0905; 0.0302; 0.0005; 0.0227; 0.0005; 0.0902; 0.0075; 0.0805; 0.0075; 0.1548; 0.2240;-68.1613
NGC_2232          ; 0.1861; 0.0212;  4.8807; 0.1913; 0.1868;-10.2035; 0.4691; 0.0077; 0.3818; 0.0077; 1.4585; 0.2119; 1.1795; 0.2119; 0.0709; 0.1067;-11.4374
NGC_2236          ; 0.2039; 0.0209; 36.8421; 0.1021; 0.0864;  3.5209; 0.0652; 0.0011; 0.0519; 0.0011; 0.2201; 0.0142; 0.1976; 0.0142; 0.1077; 0.1128; 44.5388
NGC_2243          ; 0.1102; 0.0181; 24.6710; 0.1768; 0.1050;-12.6250; 0.0301; 0.0004; 0.0268; 0.0004; 0.1100; 0.0089; 0.0906; 0.0089; 0.1277; 0.0872;-24.3849
NGC_2244          ; 0.1343; 0.0539; 27.4718; 0.1035; 0.0819;  4.6132; 0.1783; 0.0073; 0.1544; 0.0073; 0.6785; 0.0414; 0.6083; 0.0414; 0.0384; 0.1133;-65.7511
NGC_225           ; 0.2995; 0.0828; 13.5359; 0.3368; 0.0502;  2.2526; 0.1868; 0.0127; 0.1309; 0.0127; 0.4766; 0.0199; 0.3161; 0.0199; 0.3459; 0.1429;-25.9815
NGC_2251          ; 0.3422; 0.0336; -4.9411; 0.2852; 0.0597; -1.9727; 0.1137; 0.0032; 0.0748; 0.0032; 0.3774; 0.0183; 0.2697; 0.0183; 0.2724; 0.1739; 35.3518
NGC_2254          ; 0.1306; 0.0224;-53.4989; 0.1290; 0.0920;-87.2571; 0.0447; 0.0008; 0.0389; 0.0008; 0.1618; 0.0112; 0.1409; 0.0112; 0.2991; 0.1113;  5.9254
NGC_2259          ; 0.2063; 0.0260; 22.5030; 0.1711; 0.1998; 49.3601; 0.0301; 0.0006; 0.0239; 0.0006; 0.0980; 0.0151; 0.0812; 0.0151; 0.0869; 0.1402;-20.2372
NGC_2262          ; 0.2312; 0.0178;-70.9088; 0.1247; 0.1162; 87.0796; 0.0465; 0.0007; 0.0357; 0.0007; 0.1616; 0.0141; 0.1414; 0.0141; 0.1130; 0.1834; -5.2825
NGC_2264          ; 0.4933; 0.1127;-74.7070; 0.1391; 0.0602;-47.0136; 0.0836; 0.0084; 0.0424; 0.0084; 0.1674; 0.0076; 0.1441; 0.0076; 0.4795; 0.1985; 67.0640
NGC_2266          ; 0.1724; 0.0076; 10.1727; 0.1090; 0.1132;  2.0311; 0.0427; 0.0003; 0.0353; 0.0003; 0.1524; 0.0129; 0.1358; 0.0129; 0.1526; 0.0568;  9.6289
NGC_2269          ; 0.2841; 0.0202; -9.7486; 0.2306; 0.0581;-35.4948; 0.0350; 0.0006; 0.0251; 0.0006; 0.1091; 0.0050; 0.0839; 0.0050; 0.2355; 0.1788; 41.4940
NGC_2281          ; 0.2574; 0.0164;-15.4623; 0.1833; 0.0755; -7.8679; 0.3604; 0.0048; 0.2676; 0.0048; 1.0356; 0.0605; 0.8458; 0.0605; 0.0606; 0.1385; 11.9563
NGC_2286          ; 0.2651; 0.0271; -5.7786; 0.0677; 0.1083;-32.0333; 0.0803; 0.0018; 0.0591; 0.0018; 0.2347; 0.0186; 0.2188; 0.0186; 0.1684; 0.1393;  6.5363
NGC_2287          ; 0.2466; 0.0187;  0.7371; 0.2310; 0.0616; -1.4387; 0.3115; 0.0047; 0.2347; 0.0047; 0.8692; 0.0424; 0.6684; 0.0424; 0.1187; 0.0873;-70.2390
NGC_2301          ; 0.2339; 0.0164; 38.6641; 0.0289; 0.1331; -6.5638; 0.1335; 0.0017; 0.1023; 0.0017; 0.4173; 0.0399; 0.4052; 0.0399; 0.1075; 0.0983;  5.0327
NGC_2302          ; 0.3037; 0.0881;-21.6119; 0.2531; 0.0748;-16.8878; 0.0750; 0.0054; 0.0522; 0.0054; 0.1964; 0.0118; 0.1467; 0.0118; 0.2424; 0.2170; 33.7393
NGC_2304          ; 0.1412; 0.0139; 49.3149; 0.0739; 0.0850;-13.1288; 0.0446; 0.0005; 0.0383; 0.0005; 0.1639; 0.0102; 0.1518; 0.0102; 0.0936; 0.1485;-49.0182
NGC_2309          ; 0.1738; 0.0277;-22.7566; 0.0959; 0.0906; -8.3573; 0.0467; 0.0010; 0.0386; 0.0010; 0.1545; 0.0104; 0.1397; 0.0104; 0.1298; 0.0744;-12.6917
NGC_2311          ; 0.0705; 0.0239; 53.9176; 0.1425; 0.0736; 12.1471; 0.0597; 0.0010; 0.0555; 0.0010; 0.2187; 0.0122; 0.1875; 0.0122; 0.1624; 0.0967;-62.8504
NGC_2318          ; 0.2342; 0.0291; -1.9758; 0.2673; 0.0960; -2.0435; 0.2012; 0.0047; 0.1541; 0.0047; 0.6287; 0.0487; 0.4607; 0.0487; 0.3988; 0.1776; 20.3409
NGC_2323          ; 0.0154; 0.0146; -5.8038; 0.2374; 0.1198;-38.2389; 0.1957; 0.0020; 0.1927; 0.0020; 0.8408; 0.0801; 0.6412; 0.0801; 0.1309; 0.1018; 81.8686
NGC_2324          ; 0.0769; 0.0163;-34.0356; 0.1032; 0.0641; 76.1059; 0.0768; 0.0009; 0.0709; 0.0009; 0.3523; 0.0168; 0.3159; 0.0168; 0.1432; 0.1279;  8.4116
NGC_2335          ; 0.1469; 0.0259; 41.1790; 0.0851; 0.1791; 38.8739; 0.1159; 0.0023; 0.0989; 0.0023; 0.3576; 0.0473; 0.3272; 0.0473; 0.0464; 0.1157;  3.2823
NGC_2343          ; 0.2765; 0.0555; 26.1802; 0.0563; 0.0843; 67.8529; 0.0734; 0.0033; 0.0531; 0.0033; 0.1687; 0.0103; 0.1592; 0.0103; 0.2585; 0.2255; 83.4752
NGC_2345          ; 0.0718; 0.0287;-14.7521; 0.1015; 0.1675; 33.1607; 0.0887; 0.0019; 0.0823; 0.0019; 0.3072; 0.0383; 0.2760; 0.0383; 0.0364; 0.1166; 60.2993
NGC_2353          ; 0.1543; 0.0116; 15.9316; 0.1631; 0.1502; 13.8306; 0.1134; 0.0010; 0.0959; 0.0010; 0.3930; 0.0453; 0.3289; 0.0453; 0.1385; 0.1625; 14.2678
NGC_2354          ; 0.0923; 0.0200; 75.7443; 0.0378; 0.1630;-84.2693; 0.1421; 0.0021; 0.1290; 0.0021; 0.4482; 0.0527; 0.4313; 0.0527; 0.1450; 0.0679; -0.4468
NGC_2355          ; 0.1698; 0.0150; -9.9743; 0.0577; 0.1234;-12.0120; 0.0612; 0.0007; 0.0508; 0.0007; 0.1970; 0.0177; 0.1857; 0.0177; 0.2618; 0.0730; 31.6961
NGC_2358          ; 0.0897; 0.0280; 79.1385; 0.0834; 0.1300;-11.9987; 0.1796; 0.0037; 0.1635; 0.0037; 0.6204; 0.0594; 0.5686; 0.0594; 0.0375; 0.1840;-29.9364
NGC_2360          ; 0.0306; 0.0181; 36.9617; 0.1380; 0.0890; 13.3382; 0.1017; 0.0013; 0.0986; 0.0013; 0.3580; 0.0241; 0.3086; 0.0241; 0.1390; 0.0965; 36.0407
NGC_2362          ; 0.2002; 0.0472;-33.3335; 0.2800; 0.1355;-44.0355; 0.0485; 0.0018; 0.0388; 0.0018; 0.1494; 0.0164; 0.1076; 0.0164; 0.1818; 0.1088;-10.5990
NGC_2367          ; 0.0842; 0.0315;-48.6490; 0.0939; 0.0780; 67.0182; 0.0587; 0.0014; 0.0537; 0.0014; 0.1829; 0.0106; 0.1657; 0.0106; 0.0364; 0.0741;-69.0172
NGC_2374          ; 0.0861; 0.0619; 17.5064; 0.1056; 0.0532; 29.2784; 0.1266; 0.0058; 0.1157; 0.0058; 0.4209; 0.0167; 0.3765; 0.0167; 0.1418; 0.1001; 53.4367
NGC_2383          ; 0.1342; 0.0166;-22.7444; 0.1352; 0.1220;-15.8602; 0.0387; 0.0005; 0.0335; 0.0005; 0.1469; 0.0136; 0.1270; 0.0136; 0.1310; 0.2459;-28.6268
NGC_2396          ; 0.0725; 0.0420;-81.2118; 0.0294; 0.0945;-53.8890; 0.1890; 0.0058; 0.1753; 0.0058; 0.6067; 0.0412; 0.5889; 0.0412; 0.0385; 0.1301;-76.4600
NGC_2401          ; 0.1433; 0.0155; 43.6366; 0.0879; 0.1936; 57.7017; 0.0183; 0.0002; 0.0157; 0.0002; 0.0564; 0.0081; 0.0515; 0.0081; 0.2967; 0.2680; -0.6350
NGC_2414          ; 0.0924; 0.0199; 37.3561; 0.1121; 0.0492;-34.3079; 0.0460; 0.0007; 0.0417; 0.0007; 0.1676; 0.0062; 0.1488; 0.0062; 0.4522; 0.1101;-20.9749
NGC_2420          ; 0.1335; 0.0142;-13.0229; 0.1179; 0.1205;-10.9745; 0.0413; 0.0004; 0.0358; 0.0004; 0.1480; 0.0134; 0.1305; 0.0134; 0.1812; 0.0661; 47.2298
NGC_2421          ; 0.1723; 0.0205; 18.0276; 0.2622; 0.1474; 22.7040; 0.0875; 0.0014; 0.0724; 0.0014; 0.3095; 0.0367; 0.2283; 0.0367; 0.1921; 0.0990;  0.0049
NGC_2422          ; 0.1289; 0.0286;-82.2515; 0.0625; 0.1652; 33.9595; 0.2170; 0.0047; 0.1890; 0.0047; 0.6722; 0.0810; 0.6302; 0.0810; 0.0650; 0.0974; 62.0337
NGC_2423          ; 0.1792; 0.0153; 11.4411; 0.3131; 0.1071; 16.0437; 0.2277; 0.0027; 0.1869; 0.0027; 0.8068; 0.0712; 0.5542; 0.0712; 0.1816; 0.1666;-22.4273
NGC_2425          ; 0.0601; 0.0443; 73.8309; 0.1050; 0.1299; 19.0376; 0.0340; 0.0011; 0.0320; 0.0011; 0.1154; 0.0112; 0.1033; 0.0112; 0.0426; 0.0599; 84.3042
NGC_2428          ; 0.0989; 0.0494; 45.2776; 0.0883; 0.0952;-31.8881; 0.1508; 0.0055; 0.1359; 0.0055; 0.4020; 0.0283; 0.3665; 0.0283; 0.3759; 0.2272; 31.9982
NGC_2432          ; 0.1256; 0.0494;-72.6777; 0.1300; 0.0972; -6.7776; 0.0575; 0.0021; 0.0503; 0.0021; 0.1820; 0.0134; 0.1584; 0.0134; 0.1349; 0.1560;-75.5271
NGC_2437          ; 0.1210; 0.0275;  0.0367; 0.0996; 0.0413;-11.5150; 0.1785; 0.0037; 0.1569; 0.0037; 0.5511; 0.0169; 0.4962; 0.0169; 0.0567; 0.0571; 78.4600
NGC_2439          ; 0.1056; 0.0175; 24.5601; 0.1170; 0.1220;-22.0971; 0.0636; 0.0008; 0.0568; 0.0008; 0.2772; 0.0254; 0.2447; 0.0254; 0.0766; 0.0820;-12.7003
NGC_2447          ; 0.1232; 0.0120; 18.5149; 0.2327; 0.0487; -5.6358; 0.1595; 0.0014; 0.1399; 0.0014; 0.5268; 0.0204; 0.4042; 0.0204; 0.0113; 0.1181; 60.6355
NGC_2448          ; 0.3607; 0.0423;-11.5086; 0.1801; 0.0697;-14.4925; 0.2944; 0.0105; 0.1882; 0.0105; 0.7033; 0.0379; 0.5766; 0.0379; 0.1775; 0.2046; 70.6340
NGC_2451A         ; 0.2084; 0.0313; -2.7334; 0.2821; 0.1003; -6.0227; 1.2589; 0.0309; 0.9966; 0.0309; 3.0939; 0.2521; 2.2211; 0.2521; 0.3561; 0.0570; 30.7406
NGC_2451B         ; 0.3450; 0.0569;  4.9338; 0.1988; 0.1638;-12.3619; 0.5994; 0.0285; 0.3926; 0.0285; 1.5804; 0.2021; 1.2663; 0.2021; 0.2894; 0.1156; 76.9770
NGC_2453          ; 0.1132; 0.0244;  8.1622; 0.1225; 0.1443; -2.7411; 0.0324; 0.0006; 0.0288; 0.0006; 0.1225; 0.0133; 0.1075; 0.0133; 0.3889; 0.1522;-25.4009
NGC_2455          ; 0.1245; 0.0782; 41.8515; 0.0233; 0.0455;-44.9459; 0.1062; 0.0063; 0.0929; 0.0063; 0.2873; 0.0094; 0.2807; 0.0094; 0.0652; 0.2031;  6.2442
NGC_2477          ; 0.0617; 0.0283;-45.7045; 0.1001; 0.0727;  5.2631; 0.0922; 0.0019; 0.0865; 0.0019; 0.3473; 0.0188; 0.3125; 0.0188; 0.1152; 0.0696;-40.9646
NGC_2482          ; 0.2644; 0.0829;-23.4979; 0.1243; 0.0562;-11.1339; 0.1605; 0.0107; 0.1181; 0.0107; 0.3933; 0.0166; 0.3444; 0.0166; 0.0623; 0.1741; -7.8791
NGC_2489          ; 0.0792; 0.0267;-85.3417; 0.0241; 0.1195;-33.3466; 0.0549; 0.0011; 0.0505; 0.0011; 0.1772; 0.0152; 0.1729; 0.0152; 0.2149; 0.0450;-31.9529
NGC_2506          ; 0.1068; 0.0069; 50.7390; 0.0365; 0.0753; 22.4579; 0.0627; 0.0003; 0.0560; 0.0003; 0.1954; 0.0106; 0.1883; 0.0106; 0.2467; 0.0480; 55.0720
NGC_2509          ; 0.1964; 0.0231;-30.6467; 0.0496; 0.1254;-47.2379; 0.0512; 0.0009; 0.0411; 0.0009; 0.1727; 0.0157; 0.1642; 0.0157; 0.0435; 0.0642;-52.7155
NGC_2516          ; 0.1450; 0.0497;-84.2881; 0.0760; 0.0451; 18.7013; 0.2833; 0.0107; 0.2423; 0.0107; 0.9789; 0.0324; 0.9045; 0.0324; 0.1582; 0.0538; 41.2906
NGC_2527          ; 0.2631; 0.0121; -2.3690; 0.4751; 0.0730; -6.6524; 0.3836; 0.0037; 0.2827; 0.0037; 1.4745; 0.0953; 0.7739; 0.0953; 0.1876; 0.1030; 29.7915
NGC_2533          ; 0.0346; 0.0376; 87.3201; 0.0486; 0.0578; 49.1332; 0.0527; 0.0014; 0.0509; 0.0014; 0.1691; 0.0071; 0.1609; 0.0071; 0.1811; 0.0640; 68.9492
NGC_2539          ; 0.0888; 0.0245;  2.2038; 0.0820; 0.0835;-37.0730; 0.1597; 0.0029; 0.1455; 0.0029; 0.5124; 0.0315; 0.4703; 0.0315; 0.1525; 0.0744;-22.4707
NGC_2546          ; 0.2975; 0.0755; 20.8637; 0.2211; 0.0812;  9.2619; 0.2924; 0.0181; 0.2054; 0.0181; 0.6512; 0.0417; 0.5073; 0.0417; 0.1358; 0.1202;-28.1833
NGC_2547          ; 0.2505; 0.0473;-36.2274; 0.1483; 0.1639;-24.0162; 0.2536; 0.0096; 0.1901; 0.0096; 0.7014; 0.0875; 0.5974; 0.0875; 0.0625; 0.1458;-67.3623
NGC_2548          ; 0.1544; 0.0264; 24.2901; 0.0775; 0.1135; 76.8456; 0.3190; 0.0064; 0.2698; 0.0064; 0.9276; 0.0774; 0.8556; 0.0774; 0.1857; 0.0662; 58.6418
NGC_2567          ; 0.0327; 0.1169;  8.1069; 0.0681; 0.0176; 50.7735; 0.0594; 0.0050; 0.0575; 0.0050; 0.1589; 0.0021; 0.1480; 0.0021; 0.1374; 0.1023; -9.9893
NGC_2571          ; 0.2818; 0.0185; -3.9938; 0.1297; 0.1422; -4.7571; 0.1103; 0.0017; 0.0792; 0.0017; 0.3398; 0.0365; 0.2957; 0.0365; 0.1499; 0.2614;-37.3734
NGC_2580          ; 0.0397; 0.0363;-82.4012; 0.0842; 0.0623;  1.7005; 0.0406; 0.0011; 0.0390; 0.0011; 0.1162; 0.0053; 0.1064; 0.0053; 0.4719; 0.0770; 14.5283
NGC_2587          ; 0.0959; 0.0186; 12.5338; 0.0219; 0.0506; 20.8393; 0.1311; 0.0018; 0.1186; 0.0018; 0.5203; 0.0188; 0.5089; 0.0188; 0.0994; 0.0762; 37.4916
NGC_2588          ; 0.1486; 0.0172; -4.8731; 0.0762; 0.0957;-22.8530; 0.0209; 0.0003; 0.0178; 0.0003; 0.0674; 0.0047; 0.0622; 0.0047; 0.3794; 0.1310;-32.3662
NGC_2627          ; 0.1668; 0.0359; 57.0966; 0.0754; 0.0954; -9.7198; 0.0693; 0.0019; 0.0577; 0.0019; 0.2267; 0.0159; 0.2096; 0.0159; 0.2922; 0.0618;-75.6516
NGC_2632          ; 0.1963; 0.0397;  4.5287; 0.1038; 0.0805; -1.2072; 0.8571; 0.0265; 0.6888; 0.0265; 2.5011; 0.1499; 2.2414; 0.1499; 0.1235; 0.0565;-74.3674
NGC_2635          ; 0.0375; 0.0127; 78.3808; 0.0252; 0.0523; 74.4221; 0.0590; 0.0005; 0.0568; 0.0005; 0.2586; 0.0097; 0.2521; 0.0097; 0.0655; 0.0741;-87.7044
NGC_2645          ; 0.1902; 0.0875;-66.9400; 0.0867; 0.0353; 35.4401; 0.0399; 0.0027; 0.0323; 0.0027; 0.1090; 0.0028; 0.0996; 0.0028; 0.1594; 0.0854;-36.4968
NGC_2658          ; 0.1103; 0.0355; 55.9866; 0.0612; 0.1095;  9.9022; 0.0515; 0.0014; 0.0458; 0.0014; 0.1737; 0.0139; 0.1631; 0.0139; 0.2008; 0.0542;-66.6710
NGC_2659          ; 0.1029; 0.0320;-38.6788; 0.1346; 0.1361;  5.1037; 0.0466; 0.0011; 0.0418; 0.0011; 0.1525; 0.0157; 0.1320; 0.0157; 0.2831; 0.0998; 49.2367
NGC_2660          ; 0.0313; 0.0278;-11.1365; 0.0769; 0.1255;-52.1765; 0.0224; 0.0005; 0.0217; 0.0005; 0.0827; 0.0076; 0.0763; 0.0076; 0.0885; 0.0585;  0.6687
NGC_2669          ; 0.0821; 0.0157;  3.1570; 0.1422; 0.2131; 36.6349; 0.0971; 0.0011; 0.0891; 0.0011; 0.3103; 0.0502; 0.2662; 0.0502; 0.1555; 0.1283; -7.7430
NGC_2670          ; 0.1061; 0.0208; 23.0130; 0.2492; 0.1472;  6.9952; 0.0962; 0.0015; 0.0860; 0.0015; 0.3460; 0.0407; 0.2598; 0.0407; 0.2565; 0.1420; 44.8930
NGC_2671          ; 0.1805; 0.0216; 85.6424; 0.1278; 0.0842; 55.4289; 0.0560; 0.0009; 0.0459; 0.0009; 0.1869; 0.0119; 0.1630; 0.0119; 0.1838; 0.1951;-55.6826
NGC_2682          ; 0.2500; 0.0214; 13.4907; 0.1200; 0.0877; -7.2418; 0.1336; 0.0023; 0.1002; 0.0023; 0.4761; 0.0314; 0.4190; 0.0314; 0.0409; 0.0651; 87.0177
NGC_2818          ; 0.1729; 0.0117;-33.5633; 0.1768; 0.1234;-44.4398; 0.0723; 0.0007; 0.0598; 0.0007; 0.2675; 0.0255; 0.2202; 0.0255; 0.1374; 0.0506;-62.0648
NGC_2849          ; 0.0835; 0.0281; 35.6886; 0.0565; 0.1952; 39.2513; 0.0271; 0.0006; 0.0248; 0.0006; 0.0899; 0.0128; 0.0848; 0.0128; 0.2423; 0.1283;-25.3773
NGC_2866          ; 0.1590; 0.0362;-71.1997; 0.1288; 0.1667;-57.5626; 0.0201; 0.0006; 0.0169; 0.0006; 0.0610; 0.0077; 0.0531; 0.0077; 0.2928; 0.2051; -1.3187
NGC_2910          ; 0.2404; 0.0243;-35.5824; 0.0522; 0.0848;-84.7656; 0.0501; 0.0010; 0.0380; 0.0010; 0.1250; 0.0077; 0.1185; 0.0077; 0.1328; 0.1226; 46.4983
NGC_2925          ; 0.0456; 0.0314;-77.6275; 0.2481; 0.0329; 43.2758; 0.1336; 0.0030; 0.1275; 0.0030; 0.3522; 0.0093; 0.2648; 0.0093; 0.3421; 0.2254;-11.0041
NGC_2972          ; 0.0887; 0.0503; 25.0303; 0.0873; 0.1303; 27.0768; 0.0310; 0.0012; 0.0282; 0.0012; 0.0936; 0.0090; 0.0855; 0.0090; 0.2435; 0.1950; 62.0684
NGC_3033          ; 0.2505; 0.0154;-35.9637; 0.1084; 0.1178;-14.8022; 0.0940; 0.0012; 0.0705; 0.0012; 0.2651; 0.0233; 0.2364; 0.0233; 0.2657; 0.1000; 69.7847
NGC_3105          ; 0.1884; 0.0227;-65.9663; 0.0564; 0.1286; -9.5059; 0.0183; 0.0003; 0.0148; 0.0003; 0.0628; 0.0059; 0.0592; 0.0059; 0.3263; 0.1760; 44.2151
NGC_3114          ; 0.0758; 0.0322;  2.8545; 0.0951; 0.1345; 22.7758; 0.2533; 0.0060; 0.2341; 0.0060; 0.9274; 0.0925; 0.8392; 0.0925; 0.1211; 0.1212; 29.6212
NGC_3228          ; 0.1832; 0.0292; -7.0707; 0.2573; 0.0549;-20.2196; 0.3894; 0.0088; 0.3180; 0.0088; 1.2670; 0.0558; 0.9410; 0.0558; 0.3272; 0.0716; 39.7034
NGC_3255          ; 0.0322; 0.0244;-31.9615; 0.1707; 0.0945;-18.0750; 0.0190; 0.0003; 0.0184; 0.0003; 0.0679; 0.0049; 0.0563; 0.0049; 0.3024; 0.1240; -6.8259
NGC_3293          ; 0.0838; 0.0285; 12.5464; 0.0256; 0.1347; 65.0822; 0.0525; 0.0011; 0.0481; 0.0011; 0.1802; 0.0174; 0.1756; 0.0174; 0.2997; 0.1192; 20.8037
NGC_3324          ; 0.2022; 0.0246; -8.1055; 0.1851; 0.1326; 12.9388; 0.0601; 0.0012; 0.0480; 0.0012; 0.1909; 0.0196; 0.1555; 0.0196; 0.1567; 0.0544;  5.0712
NGC_3330          ; 0.0763; 0.0119; -8.2535; 0.0570; 0.0928;-23.4728; 0.1342; 0.0012; 0.1240; 0.0012; 0.5812; 0.0393; 0.5481; 0.0393; 0.1082; 0.0536; -7.3085
NGC_3496          ; 0.1210; 0.0259; -9.2779; 0.0309; 0.0918; 29.5679; 0.0697; 0.0014; 0.0613; 0.0014; 0.2410; 0.0159; 0.2335; 0.0159; 0.1508; 0.1670;  3.7820
NGC_3532          ; 0.0735; 0.0288; 19.3407; 0.1199; 0.0399; -6.3215; 0.3088; 0.0065; 0.2861; 0.0065; 1.0211; 0.0306; 0.8987; 0.0306; 0.0644; 0.0581;-70.7002
NGC_3572          ; 0.5806; 0.2401;-50.3341; 0.0429; 0.0450;-67.5565; 0.0876; 0.0194; 0.0368; 0.0194; 0.1834; 0.0060; 0.1755; 0.0060; 0.0324; 0.0421;-89.8900
NGC_3590          ; 0.1672; 0.0193;-30.7516; 0.0579; 0.0588;-66.6753; 0.0288; 0.0004; 0.0240; 0.0004; 0.0997; 0.0043; 0.0939; 0.0043; 0.0859; 0.1444; 76.9044
NGC_366           ; 0.2149; 0.0182;-35.9017; 0.1523; 0.1234;-20.4169; 0.0324; 0.0005; 0.0255; 0.0005; 0.1023; 0.0096; 0.0867; 0.0096; 0.1970; 0.0682;-14.5421
NGC_3680          ; 0.2776; 0.0134;  2.6620; 0.3464; 0.1123;  7.8171; 0.1559; 0.0017; 0.1127; 0.0017; 0.5403; 0.0508; 0.3531; 0.0508; 0.1308; 0.1031; 41.2741
NGC_3766          ; 0.0775; 0.0190;-13.3576; 0.0378; 0.0818;-24.3980; 0.0802; 0.0011; 0.0740; 0.0011; 0.2894; 0.0171; 0.2785; 0.0171; 0.1078; 0.0845; -8.8930
NGC_381           ; 0.1915; 0.0346; 86.3523; 0.0497; 0.1205;-15.7905; 0.0676; 0.0018; 0.0546; 0.0018; 0.1817; 0.0159; 0.1727; 0.0159; 0.1306; 0.1012; 72.7694
NGC_3960          ; 0.2344; 0.0408;-10.8441; 0.0876; 0.1006;-31.4994; 0.0588; 0.0019; 0.0450; 0.0019; 0.1607; 0.0119; 0.1466; 0.0119; 0.1323; 0.0692; 16.1675
NGC_4052          ; 0.1811; 0.0170; -2.7695; 0.1170; 0.0579; -9.6724; 0.0897; 0.0012; 0.0735; 0.0012; 0.3091; 0.0134; 0.2729; 0.0134; 0.0423; 0.0507; 22.0158
NGC_4103          ; 0.1988; 0.0298; 16.6539; 0.0717; 0.0500; 15.5099; 0.0817; 0.0019; 0.0654; 0.0019; 0.2863; 0.0105; 0.2657; 0.0105; 0.1720; 0.2232;-59.8112
NGC_433           ; 0.1617; 0.0663; 29.6990; 0.0805; 0.0982; 62.8123; 0.0528; 0.0027; 0.0443; 0.0027; 0.1318; 0.0095; 0.1211; 0.0095; 0.1052; 0.0998;-63.4095
NGC_4337          ; 0.2200; 0.0201;-27.0654; 0.0967; 0.0678;-20.8702; 0.0369; 0.0006; 0.0288; 0.0006; 0.1273; 0.0064; 0.1150; 0.0064; 0.1442; 0.0397; 16.0093
NGC_4349          ; 0.1749; 0.0692;-18.0477; 0.0371; 0.0420; 26.0702; 0.0693; 0.0037; 0.0572; 0.0037; 0.1725; 0.0052; 0.1661; 0.0052; 0.0768; 0.0749; 36.2731
NGC_436           ; 0.0462; 0.0201;  2.9594; 0.1486; 0.1213; 30.7709; 0.0379; 0.0006; 0.0362; 0.0006; 0.1398; 0.0129; 0.1190; 0.0129; 0.1083; 0.3121; 50.0144
NGC_4439          ; 0.1922; 0.0501;-60.9664; 0.0958; 0.0242; -6.1027; 0.0563; 0.0022; 0.0455; 0.0022; 0.1533; 0.0028; 0.1386; 0.0028; 0.2853; 0.1166; 52.9761
NGC_4463          ; 0.3134; 0.0382;-86.5872; 0.0169; 0.0604; 14.5570; 0.0468; 0.0015; 0.0321; 0.0015; 0.1180; 0.0051; 0.1160; 0.0051; 0.2799; 0.1390; 58.3265
NGC_457           ; 0.1063; 0.0067; -1.0996; 0.1051; 0.1621;-12.1953; 0.1190; 0.0006; 0.1063; 0.0006; 0.5236; 0.0632; 0.4686; 0.0632; 0.2846; 0.1162;-50.9513
NGC_4609          ; 0.1312; 0.0083;-37.5236; 0.0704; 0.0944;-17.8409; 0.1077; 0.0007; 0.0936; 0.0007; 0.3794; 0.0262; 0.3527; 0.0262; 0.3154; 0.1149;-12.0397
NGC_4755          ; 0.1041; 0.0162;-38.9974; 0.1273; 0.1331;-16.6304; 0.0632; 0.0008; 0.0566; 0.0008; 0.2789; 0.0280; 0.2434; 0.0280; 0.2708; 0.2173;  5.3399
NGC_4815          ; 0.0894; 0.0433; 31.9475; 0.1159; 0.1141; 22.7225; 0.0386; 0.0012; 0.0351; 0.0012; 0.1433; 0.0123; 0.1267; 0.0123; 0.2464; 0.0773; 46.5415
