#
# [ASteCA v0.4.3-dev]
#
# Created:  [2022-06-13 10:42:06]
# Modified: [2022-06-13 16:10:26]
#
# NAME     : Cluster's name
# c_x      : x center coordinate
# c_y      : y center coordinate
# r_cl     : radius
# r_c      : Core radius (King profile)
# r_t      : Tidal radius (King profile)
# ell      : Ellipticity
# theta    : Rotation angle
# CI       : Contamination index
# n_memb_k : Number of members obtained integrating the fitted King profile
# n_memb   : Number of members assuming a uniform background
# a_f      : Fraction of cluster's area that is present in frame
#
# Parameter values are in the sense: mean, median, mode, 16th percentile,
# 84th percentile, and STDDEV.
#
# M  : total initial mass
# z  : metallicity
# a  : log(age)
# bf : binary fraction
# B  : beta
# Av : Visual absorption
# DR : differential reddening
# Rv : ratio of total to selective absorption
# dm : distance modulus
#
NAME,c_x,c_y,r_cl,r_c_mean,r_c_median,r_c_mode,r_c_16th,r_c_84th,r_c_std,r_t_mean,r_t_median,r_t_mode,r_t_16th,r_t_84th,r_t_std,ell_mean,ell_median,ell_mode,ell_16th,ell_84th,ell_std,theta_mean,theta_median,theta_mode,theta_16th,theta_84th,theta_std,CI,n_memb_k,n_memb,a_f,M_mean,M_median,M_mode,M_16th,M_84th,M_std,z_mean,z_median,z_mode,z_16th,z_84th,z_std,a_mean,a_median,a_mode,a_16th,a_84th,a_std,bf_mean,bf_median,bf_mode,bf_16th,bf_84th,bf_std,B_mean,B_median,B_mode,B_16th,B_84th,B_std,Av_mean,Av_median,Av_mode,Av_16th,Av_84th,Av_std,DR_mean,DR_median,DR_mode,DR_16th,DR_84th,DR_std,Rv_mean,Rv_median,Rv_mode,Rv_16th,Rv_84th,Rv_std,dm_mean,dm_median,dm_mode,dm_16th,dm_84th,dm_std
KP_synth_1/0.0400_0.5000_-0.7854_12_1,0.022196,0.019539,0.693619,0.688469,0.676114,0.661483,0.488312,0.872745,0.194743,1.086552,1.046013,1.012002,0.940522,1.250171,0.167078,0.543225,0.549789,0.559288,0.481755,0.605107,0.062719,-0.809851,nan,-0.846796,nan,nan,0.417930,0.46,358,180,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.5000_-0.7854_21_0,0.022196,0.021226,0.839556,0.748081,0.754933,0.799495,0.566662,0.921201,0.168262,1.090497,1.073309,1.051291,0.978394,1.199038,0.123485,0.548907,0.550936,0.553609,0.498126,0.600289,0.052674,-0.741793,nan,-0.731967,nan,nan,0.072264,0.54,396,190,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.5000_-1.5708_16_1,0.022196,0.061612,0.820929,0.540940,0.499526,0.442193,0.369897,0.727008,0.182544,1.366544,1.326172,1.285423,1.111553,1.626515,0.256630,0.562523,0.565629,0.574595,0.499725,0.623911,0.061391,1.271340,nan,1.526497,nan,nan,1.256678,0.53,405,188,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.5000_-1.5708_29_0,0.022196,-0.020847,0.858941,0.617499,0.590153,0.501513,0.411359,0.845016,0.200297,1.313344,1.276113,1.215244,1.108311,1.526325,0.222291,0.545351,0.546869,0.546785,0.488569,0.603128,0.059303,1.017997,nan,1.498172,nan,nan,1.329895,0.54,424,203,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.5000_0.0000_31_0,0.022196,0.021226,0.652782,0.519630,0.493975,0.441234,0.355606,0.699495,0.163796,1.114475,1.081956,1.011947,0.909644,1.313223,0.216862,0.515098,0.520807,0.529070,0.448451,0.580550,0.066861,0.220430,nan,0.225117,nan,nan,0.083662,0.43,356,182,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.5000_0.0000_33_1,0.022196,0.021226,0.833812,0.571306,0.539505,0.485600,0.405332,0.750868,0.171601,1.349648,1.305654,1.241766,1.119219,1.575269,0.251358,0.561087,0.564773,0.572939,0.502320,0.619172,0.059814,0.025654,nan,0.038369,nan,nan,0.074183,0.53,419,196,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.5000_0.7854_10_0,-0.018190,0.021226,0.694587,0.634216,0.577964,0.499184,0.414635,0.829347,0.258804,1.145616,1.097904,1.025990,0.942631,1.373832,0.217223,0.495276,0.495151,0.490962,0.430375,0.565652,0.066377,0.935341,nan,0.970053,nan,nan,0.433030,0.46,340,181,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.5000_0.7854_34_1,0.022196,0.021226,0.837740,0.503194,0.473464,0.413580,0.339874,0.685243,0.162920,1.191917,1.145787,1.052334,0.943071,1.451514,0.260906,0.445468,0.453676,0.466896,0.367963,0.521310,0.079954,0.765579,nan,0.760836,nan,nan,0.117197,0.54,326,195,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.5000_1.5708_22_1,0.022196,0.021226,0.713548,0.839095,0.854239,0.901961,0.655208,1.009853,0.166468,1.148137,1.131426,1.112430,1.024046,1.275358,0.128118,0.617145,0.621359,0.629674,0.567455,0.665194,0.049265,-1.504432,nan,-1.536621,nan,nan,0.893487,0.47,438,180,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
KP_synth_1/0.0400_0.5000_1.5708_23_0,0.022196,0.021226,0.813171,0.458694,0.412922,0.362028,0.304624,0.625453,0.175727,1.442994,1.396805,1.315121,1.157769,1.733339,0.280540,0.608134,0.612073,0.617091,0.559416,0.659154,0.053670,-1.268988,nan,-1.494922,nan,nan,1.258804,0.53,437,187,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
