file,kpc,ell_t,theta_t,Nf,x0,y0,width,height,ell,theta,x1,y1,width_o,height_o,ell_o,theta_o
0.9900_0.2000_1.5708_9_1.dat,0.9900,0.2000,1.5708,1,0.01575951903807614,0.012605210420841608,0.7213697981002382,0.5983346553823286,0.17055765717102178,-57.29447358809571,0.01094267603677517,-0.003918663731440733,0.906158242131263,0.7363809456787628,0.1873594352054757,-53.9838644325888
0.2775_0.2000_-1.5708_10_1.dat,0.2775,0.2000,-1.5708,1,0.002853707414829676,0.018096192384769626,1.2471306677766376,0.8687544220920782,0.30339743497697946,-86.28832635596066,0.0059786476482786574,0.024673332669604208,1.3182570742428756,0.9613149926611086,0.2707681897226094,88.8873247130097
0.2775_0.5000_-0.7854_9_0.dat,0.2775,0.5000,-0.7854,0,-0.022013835362190495,0.007205687339345906,1.1607999321966394,0.6015590287023707,0.4817719987595015,-48.5720848056155,-0.04063359965218961,-0.00723104602561916,1.1796022925080405,0.9347244682336906,0.20759354727405355,-45.988982501480535
0.7525_0.8000_0.0000_10_1.dat,0.7525,0.8000,0.0000,1,-0.004709418837675427,-0.003170340681362708,0.8546712788963712,0.16351310165665672,0.8086830507890711,0.18944607224310062,-0.003306348021062531,-0.0060418511782079545,0.9714686397208825,0.627175554644713,0.35440473423320185,-11.64256031158277
0.7525_0.2000_0.0000_9_0.dat,0.7525,0.2000,0.0000,0,-0.013126252505010101,-0.0010420841683366495,0.9322267520311709,0.693789447501819,0.2557717894383911,5.536042884593144,-0.00892390397879944,0.000274717433251927,1.0975992170508018,0.8274861371138017,0.2460944539144091,10.203024272724349
0.0400_0.8000_0.7854_10_0.dat,0.0400,0.8000,0.7854,0,8.785695477661726e-05,-0.00887355243244526,1.2176059499992842,0.2782037070223801,0.7715158118087846,46.660323200030206,-0.0020066236618934163,-0.02186453670953178,1.2579940597540644,0.6684121665082438,0.46866826490506863,45.36217428495526
0.0400_0.5000_-0.7854_9_1.dat,0.0400,0.5000,-0.7854,1,-0.015325370417900915,0.011060056968258555,1.3530443032164954,0.6764961713750646,0.5000192013174449,-42.472912420190625,-0.020007805226716916,0.0007844029107639811,1.4129449674717778,0.7899495076616778,0.4409198335055068,-42.371657882032224
0.9900_0.8000_0.7854_10_0.dat,0.9900,0.8000,0.7854,0,-0.00915696196398297,-0.007280790865203408,0.6978373831995971,0.1597472551392579,0.7710824054641301,46.709229492748634,-0.007686093648781814,-0.0025361396858686624,0.9222055267290286,0.3367278510206149,0.6348668043500507,41.859895848469364
0.2775_0.2000_1.5708_9_0.dat,0.2775,0.2000,1.5708,0,0.010837675350701381,-0.017474949899799672,1.1774144133991697,0.9260217528139877,0.21351247082105695,-80.94578409467556,0.008224074622976368,-0.020682823724379355,1.2757464844843474,1.0218187834755779,0.1990424462046676,-85.34485839762043
0.7525_0.2000_1.5708_10_1.dat,0.7525,0.2000,1.5708,1,0.006476953907815612,0.009879759519037995,0.8873998546410773,0.6870469602560654,0.22577521659167699,77.10426979758749,0.0025278848471045738,0.0006080934557219086,1.0264600342320471,0.8471341205983953,0.17470325940923326,75.59973999579601
0.2775_0.5000_-1.5708_10_0.dat,0.2775,0.5000,-1.5708,0,-0.002815631262525094,0.04008016032064136,1.1526418974652257,0.6162701207195026,0.46534121128622696,-87.80354773513653,-0.000573156087082799,0.04749572312059585,1.2510311494074469,0.8061966787479614,0.35557425638057216,87.76554710711552
